Authors	Title	Citation	DOI	Year	Month	0	1	2	3	Score	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	SUM  Completed	First_Author	Last_author	Duration in Career	Highest Degree Obtained	Degree Area	Publication Rate	Other Journals Published in	University_name	Type	Established	Academic_staff	Students	No_in_lab	Country	Latitude	Longitude	Campus	world_rank	teaching	international	research	citations	income	student_staff_ratio	international_students	female_male_ratio	pop_density_map.png	privacy_map.jpg	english_language_map.png	Grover identified falsification
Inka Regine Weingaertner, Sarah Koutnik, Hermann Ammer	Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network	PLOS One, January 2013 | Volume 8 | Issue 1 | e53510	10.1371/journal.pone.0053510	2013	01-Jan	1		1		4	duplicated blot, shifted microscopy	1	10-09-2015		1		1	Inka Regine Weingaertner	Hermann Ammer	8	PhD	molecular biology	0.375	Genetics	Ludwig-Maximilians-University	Public	1472	6017	51025	8.4801396	Germany	-48.150833	-11.580278											0	0	0	Original
Jessica M. Esparza, Eileen OÕToole, Linya Li, Thomas H. Giddings Jr., Benjamin Kozak, Alison J. Albee, Susan K. Dutcher	Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii	PLOS ONE, January 2013 | Volume 8 | Issue 1 | e53940	10.1371/journal.pone.0053940	2013	01-Jan		1			2	duplicated colony strip	1	01/15/2016		1		1	Jessica M. Esparza	Susan K. Dutcher	12	PhD	genetics	3	molecular biology	Washington University School of Medicine	Private	1891	1874	1349	0.71985059	United States	-38.636944	90.2647222	Urban										0	0	0	Original
Sreedevi Avasarala, Fangfang Zhang, Guangliang Liu, Ruixue Wang, Steven D. London, Lucille London	Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome	PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285	10.1371/journal.pone.0057285	2013	02-Feb			1		3	reuse of one lane in different blot experiment	1	08-04-2015		1		1	Sreedevi Avasarala	Lucille London	5	PhD	biology	0.2173913	Molecular Cancer, Research	Stony Brook University	Public	1957	2738	26814	9.79327977	United States	-40.915	73.1238889	Suburban	226	32.6	53.2	22	83	33.4	10.9	0.24	2.118055556	0	0	0	Original
Rounak Nassirpour, Pramod P. Mehta, Sangita M. Baxi, Min-Jean Yin 	miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells	PLOS ONE, April 2013 | Volume 8 | Issue 4 | e62170	10.1371/journal.pone.0062170	2013	04-Apr	1			1	5	Duplicated / mirrored bands in blot	1	04-10-2017	1			1	Rounak Nassirpour	Min-Jean Yin	10	PhD	molecular biology	2	Cancer Research	University of California, San Diego	Public	1960	10625	38736	3.64574118	United States	-32.88	117.233889	Urban	39	56.9	42.9	69.8	98.7	56.7	6.5	0.11	2.036111111	0	0	0	Original
Jianuo Liu,  Peng Xu, Cory Collins, Han Liu, Jingdong Zhang, James P. Keblesh, Huangui Xiong	HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity	PLOS ONE, May 2013 | Volume 8 | Issue 5 | e64904, doi:10.1371/journal.pone.0064904	10.1371/journal.pone.0064904	2013	05-May		1			2	multiple duplicated microscopy images	1	9/19/2014		1		1	Jianuo Liu	Huangui Xiong	18	PhD	pharmacology	0.4285714	Journal of Neuroimmune Pharmacology	University of Nebraska Medical Center	Public	1880	0	4055	0	United States	41.2558333	95.9755556		376	37	37.7	13.3	64.4	33.6	2.6	0.08	2.814583333	0	2	2	Original
Yang Wang, Shijie Sheng, Jianzhi Zhang, Sijana Dzinic, Shaolei Li, Fang Fang, Nan Wu, Qingfeng Zheng, Yue Yang	Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC)	PLOS ONE, May 2013 | Volume 8 | Issue 5 | e63581	10.1371/journal.pone.0063581	2013	05-May			1		3	part of blot panel reused to represent different protein	1			1		1	Yang Wang	Yue Yang	17	PhD	theoretical physics	31.8823	physics review	Peking University	Public	1898	7317	39575	5.40863742	China	-39.98972222	-116.3052777	Urban	42	77.8	49.2	72.4	69.1	100	8.3	0.14		0	0	0	Original
Elizabeth Ngoc Hoa Tran, Matthew Thomas Doyle, Renato Morona	LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e70508, doi:10.1371/journal.pone.0070508	10.1371/journal.pone.0070508	2013	07-Jul	1			1	5	duplicated lanes within same blot, or in different blots, duplicated microscopy panel	1	10/16/2014		1		1	Elizabeth Ngoc Hoa Tran	Renato Morona	7	PhD	microbiology	0.2916667	PloS One	University of Adelaide	Public	1874	1481	27357	18.4719784	Australia	34.9191667	-138.60417	Urban	149	32.8	85.1	43.2	72.4	79.3	30.1	0.26	2.036111111	5	0	0	Original
Fabio Sallustio, Grazia Serino, Vincenzo Costantino, Claudia Curci, Sharon N. Cox, Giuseppe DePalma, Francesco P. Schena	miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e68296, doi:10.1371/journal.pone.0068296	10.1371/journal.pone.0068296	2013	07-Jul			1		3	overlapping microscopy images,but rotated/stretched	1	05-08-2015		1		1	Fabio Sallustio	Francesco P. Schena	16	PhD	biotechnology	0.3555556	nature	University of Bari	Public	1925	0	49000	0	Italy	-41.120278	-16.868333	Urban										0	0	2	Original
Jia Ma, Qing Zhang, Sulian Chen, Binbin Fang, Qingling Yang, Changjie Chen, Lucio Miele, Fazlul H. Sarkar, Jun Xia, Zhiwei Wang	Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69485,  doi: 10.1371/journal.pone.0069485	10.1371/journal.pone.0069485	2013	07-Jul				1	4	multiple overlapping microscopy images, groups of cells visible in multiple images	1	11/25/2014		1		1	Jia Ma	Zhiwei Wang	10	PhD	biochemistry	2	European journal of cell biology	Bengbu Medical College		1958	0	0	0	China	-32.909167	-117.42389											0	0	0	Original
Yael Friedman-Levi, Michal Mizrahi, Kati Frid, Orli Binyamin, Ruth Gabizon 	PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69583, doi: 10.1371/journal.pone.0069583	10.1371/journal.pone.0069583	2013	07-Jul				1	4	possible duplicated lanes within same blot, patch in other blot	1	7/20/2015		1		1	Yael Friedman-Levi	Ruth Gabizon	5	PhD	disease	0.2272727	cell biology	Hadassah Medical Center			0	0	0	West Jerusalem	-31.797222	-35.241944											0	0	4	Original
Yan Zhang, Lei Shan, Yaping Hua, Dan Wang, Huawu Zeng, Runhui Liu, Weidong Zhang, Zhenlin Hu	Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69592	10.1371/journal.pone.0069592	2013	07-Jul			1		3	two sets of duplicated facs panels but different percentages gated points	1	01/26/2015		1		1	Yan Zhang	Zhenlin Hu	9	PhD	biotechnology	1.666	molecular biology	Second Military Medical University	Public	1949	0	0	0	China	31.228611	121.474722	Urban										0	0	0	Original
Zhongpu Chen, Xiaodong Pan, Yuyu Yao, Fengdi Yan, Long Chen, Rong Huang, Genshan Ma	Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69134, doi:10.1371/journal.pone.0069134	10.1371/journal.pone.0069134	2013	07-Jul			1		3	overlapping microscopy images	1	7/23/2014		1		1	Zhongpu Chen	Genshan Ma	7	PhD	biology	2.4285	PloS One	Southeast University	Public	1902	2832	0	0	China	-32.057778	-118.78889	Urban										0	0	0	Original
Akrem Abdulsid, Alexander Fletcher, Fiona Lyall	Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor	PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127	10.1371/journal.pone.0071127	2013	08-Aug				1	4	reuse of 2 bands multiple times to create blot panel	1		1			1	Akrem Abdulsid	Fiona Lyall	7	PhD	medical biology	0.7777778	PloS One	University of Glasgow	Public	1451	2942	30805	10.4707682	UK	-55.871944	4.2875		76	41.6	85.8	48.3	92.3	31.6	16	0.29	2.404861111	0	0	0	Original
Fang Liu, A. Jesse Gore, Julie L. Wilson, Murray Korc	DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine	PLOS ONE, January 2014 | Volume 9 | Issue 1 | e84982	10.1371/journal.pone.0084982	2014	01-Jan			1		3	duplicated, and mirrored blots	1	9/15/2014		1		1	Fang Liu	Murray Korc	8	PhD	molecular biology	0.5	cancer research	Indiana University	Public	1820	8733	110436	12.6458262	United States	-39.166667	86.5		226	43	41.2	27.3	74.8	-	13.6	0.13	2.240972222	1	0	0	Original
Jagannath Misra, Dipanjan Chanda, Don-Kyu Kim, Seung-Rye Cho, Seung-Hoi Koo, Chul- Ho Lee, Sung Hoon Back, Hueng-Sik Choi	Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH	PLOS One, January 2014 | Volume 9 | Issue 1 | e86342	10.1371/journal.pone.0086342	2014	01-Jan		1			2	duplicated (negative) western blot	1	05-06-2015		1		1	Jagannath Misra	Hueng-Sik Choi	9	PhD	biology	0.6666	genetics	Chonnam National University	National	1952	2199	30080	13.678945		-35.176389	-126.90806		701	17.5	20.4	11.7	29.1	31.4	18.5	0.03	1.749305556	0	0	0	Original
Trent Fowler, Payel Ghatak, David H. Price, Ronald Conaway, Joan Conaway, Cheng-Ming Chiang, James E. Bradner, Ali Shilatifard, Ananda L. Roy	Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells	PLOS One, January 2014 | Volume 9 | Issue 1 | e87003	10.1371/journal.pone.0087003	2014	01-Jan			1		3	duplicated, and stretched blot	1	4/22/2015		1		1	Trent Fowler	Ana L. Roy	20	PhD	molecular biology	1.1764706	PloS One	Tufts University School of Medicine	Private	1893	3925	826	0.21044586	United States	-42.349722	71.0619444	Urban										0	0	0	Original
Mojca Jez, Sakthikumar Ambady, Olga Kashpur, Alexandra Grella, Christopher Malcuit, Lucy Vilner, Primoz Rozman, Tanja Dominko	Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells	PLOS One, February 2014 | Volume 9 | Issue 2 | e89546	10.1371/journal.pone.0089546	2014	02-Feb	1		1		4	Duplicated, and shifted GAPDH gel panel	1	7/28/2014		1		1	Mojca Jez	Tanja Dominko	8	PhD	immunohematology	0.4	Slovenian Veterinary Research	University of Ljubljana	Public	1919	0	38762	0	Slovenia	-46.048889	-14.503889		701	24.9	34.5	13.6	24	32.3	17.6	0.04	2.527777778	0	0	0	Original
Zhenni Zhang, Jianrui Lv, Xiaoming Lei, Siyuan Li, Yong Zhang, Lihua Meng, Rongliang Xue, Zongfang Li	Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway	PLOS One, February 2014 | Volume 9 | Issue 2 | e90318	10.1371/journal.pone.0090318	2014	02-Feb			1		3	Mirrored blot panels representing different proteins	1	7/25/2016	1			1	Zhenni Zhang	Zongfang Li	8	PhD	biomedicine	0.8	Journal of Pineal Research	Xi'an Jiaotong University	Public		5583	32000	5.73168547	China	-34.247222	-108.97917	Urban										0	3	0	Original
Christophe Broca,  Elodie Varin, Mathieu Armanet, Ccile Tourrel-Cuzin, Domenico Bosco,  Stphane Dalle, Anne Wojtusciszyn	Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets	PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92066	10.1371/journal.pone.0092066	2014	03-Mar			1		3	duplicated/reused actin blot panels	1	07-07-2014		1		1	Christophe Broca	Anne Wojtusciszyn	23	PhD	cell biology	0.4339623	Journal of Diabetes	Montpellier 2 University	Public	1970	2564	16224	6.3276131	France	-43.631944	-3.8638889											0	0	0	Original
Sylwia Flis, Agnieszka Gnyszka, Krzysztof Flis	DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells	PLOS One, March 2014 | Volume 9 | Issue 3 | e92305	10.1371/journal.pone.0092305	2014	03-Mar			1		3	Duplicated lanes within different panels - but representing same conditions	1	8/18/2014		1		1	Sylwia Flis	Krzysztof Flis	17	PhD	pharmacology	0.4857143	Blood	National Academy of Medicine		1950	0	0	0		-39.6522222	77.35388											0	3	0	Original
Takaharu Nakayoshi, Ken-ichiro Sasaki, Hidemi Kajimoto, Hiroshi Koiwaya, Masanori Ohtsuka, Takafumi Ueno, Hidetoshi Chibana, Naoki Itaya, Masahiro Sasaki, Shinji Yokoyama, Yoshihiro Fukumoto, Tsutomu Imaizumi	FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augments Their Neovascularization Capacities in Ischemic Limbs	PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92626	10.1371/journal.pone.0092626	2014	03-Mar			1		3	Mirrored microscopy image	1	4/27/2015		1		1	Takaharu Nakayoshi	Tsutomu Imaizumi	9	PhD	cellbiology	0.3333333	Heart Vessels	Kurume University		1946	0	0	0	Japan	33.3286111	-130.51111											5	0	0	Original
Yuri Churin, Martin Roderfeld, Johannes Stiefel, Tilman Wu r_ ger, Dirk Schro __ er, Tomomitsu Matono, Hans-Joachim Mollenkopf, Roberta Montalbano, Malvika Pompaiah, Kurt Reifenberg5, Daniel Zahner, Matthias Ocker, Wolfram Gerlich, Dieter Glebe, Elke Roeb	Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background	PLOS One, March 2014 | Volume 9 | Issue 3 | e90608	10.1371/journal.pone.0090608	2014	03-Mar	1	1			3	Duplicated actin blot panel but different experiments, cuts in panels	1	05-01-2015		1		1	Yuri Churin	Elke Roeb	30	PhD	cell biology	0.2380952	Zeitschrift für Gastroenterologie	Justus Liebig University	Public	1607	3039	28454	9.36294834	Germany	-50.580833	-8.6763889											0	0	0	Original
Chuan Li, Cheng Wang, Lingxue Meng, Jiewen Xing, Tianya Wang, Hua Yang, Yingyin Yao, Huiru Peng, Zhaorong Hu, Qixin Sun, Zhongfu Ni	Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis	PLOS One, April 2014 | Volume 9 | Issue 4 | e94830	10.1371/journal.pone.0094830	2014	04-Apr				1	4	Manipulated plant images, duplication of seeds, manipulated leaves	1	05-12-2016	1			1	Chuan Li	Zhongfu Ni	7	PhD	evolutionary biology	7	genetics	China Agricultural University	Public	1905	1581	19500	12.33396584	China	-40.001944	-116.35472	Urban	551	35.8	17.6	24.9	22.6	52.3	12	0.01	2.404861111	0	0	4	Original
Gail Doughton, Jun Wei, Nicolas Tapon, Melanie J. Welham, Andrew D. Chalmers	Formation of a Polarised Primitive Endoderm Layer in Embryoid Bodies Requires Fgfr/ Erk Signalling	PLOS One, April 2014 | Volume 9 | Issue 4 | e95434	10.1371/journal.pone.0095434	2014	04-Apr			1		3	Duplicated compressed blots, overlapping microscopy	1			1		1	Gail Doughton	Andrew D. Chalmers	6	PhD	developmental biology	1.2	BMC Cell Biology	University of Bath	Public	1885	0	18065	0	England	-51.379722	2.32805556	Suburban	276	28.9	84.8	27.9	56.7	36.3	18.8	0.3	1.954166667	0	0	0	Original
Liliana O. Rocha, Sabina Moser Tralamazza, Gabriela M. Reis, Leon Rabinovitch, Cynara B. Barbosa, Benedito Corre_a	Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki	PLOS One, April 2014 | Volume 9 | Issue 4 | e92189	10.1371/journal.pone.0092189	2014	04-Apr		1			2	Duplicated FACS panels	1	08-12-2014		1		1	Liliana O. Rocha	Benedito Corre_a	16	PhD	microbiology	0.1151079	Mycotoxin Research	University of Sao Paulo	Public	1934	5732	92	0.01605024	Brazil	23.5597222	46.7291667											1	0	0	Original
Prabuddha Dey, Monami Chakraborty, Maulik R. Kamdar, Mrinal K. Maiti	Functional Characterization of Two Structurally Novel Diacylglycerol Acyltransferase2 Isozymes Responsible for the Enhanced Production of Stearate-Rich Storage Lipid in Candida tropicalis SY005	PLOS One, 14 April 2014 | Volume 9 | Issue 4 | e94472	10.1371/journal.pone.0094472	2014	04-Apr				1	4	Duplicated cells within microscopy panels, multiple cases, duplicated blots	1		1			1	Prabuddha Dey	Mrinal K. Maiti	6	PhD	biotechnology	2	Journal of Biological Chemistry	Indian Institute of Technology Kharagpur	Public	1951	781	11794	15.1011524	India	22.3194444	87.3097222	Urban	450	33.2	13.3	30.5	41.4	31.7	17.5	0	0.68402778	1	0	0	Original
Xiaomei Ge, Yafei Zhang, Sungwon Park, Xiaofei Cong, David E. Gerrard, Honglin Jiang	Stac3 Inhibits Myoblast Differentiation into Myotubes	PLOS One, April 2014 | Volume 9 | Issue 4 | e95926	10.1371/journal.pone.0095926	2014	04-Apr		1			2	Duplicated microscopy images	1	08-07-2014		1		1	Xiaomei Ge	Honglin Jiang	8	PhD	molecular biology	1.1428571	PLoS One	Virginia Tech	Public	1872	1395	33403	23.9448029	United States	-37.218056	80.4180556	College Town										0	0	0	Original
Xudong Shi, Daniel DiRenzo, Lian-Wang Guo, Sarah R. Franco, Bowen Wang, Stephen Seedial, K. Craig Kent	TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation	PLOS One, April 2014 | Volume 9 | Issue 4 | e93995	10.1371/journal.pone.0093995	2014	04-Apr		1			2	Duplicated blot panels	1	7/22/2014		1		1	Xudong Shi	K. Craig Kent	20	PhD	reproductive biology	0.4	Analytical Chemistry	University of Wisconsin-Madison	Public	1848	2220	44413	20.00585586	United States	-43.075	89.4172222	Urban	50	65.1	33	68.2	86.6	48.5	10.8	0.11	2.159027778	0	0	0	Original
Yushen Jiang, Tang Jiang, Juan Ouyang, Qingsong Zhou, Yanlan Liang, Yingpeng Cui, Peisong Chen, Bin Huang	Cell Atavistic Transition: Paired Box 2 Re-Expression Occurs in Mature Tubular Epithelial Cells during Acute Kidney Injury and Is Regulated by Angiotensin II	PLOS One, April 2014 | Volume 9 | Issue 4 | e93563	10.1371/journal.pone.0093563	2014	04-Apr		1			2	Duplicated gel panels	1	05-06-2015		1		1	Yushen Jiang	Bin Huang	6	PhD	medical biology	0.3333	International Journal of Molecular Sciences	Sun Yat-sen University	Public	1924	17022	56047	3.292621314	China	23.132	113.266	Urban	376	31.9	37	24.6	45.7	79.4	16.6	0.08	2.159027778	0	0	0	Original
Ambrish Kumar, Daping Fan, Donald J. DiPette, Ugra S. Singh	Sparstolonin B, a Novel Plant Derived Compound, Arrests Cell Cycle and Induces Apoptosis in N-Myc Amplified and N-Myc Nonamplified Neuroblastoma Cells	PLOS ONE, May 2014 | Volume 9 | Issue 5 | e96343	10.1371/journal.pone.0096343	2014	05-May		1			2	Duplicated microscopy images	1	07-06-2016		1		1	Ambrish Kumar	Ugra S. Singh	15	PhD	cell biology	0.6818182	Molecular microbiology	University of South Carolina	Public	1801	1604	35364	22.0473815	United States	-33.9975	81.0252778	Urban	376	31.1	24.5	21.5	58.7	30.3	16.3	0.01	2.322916667	0	0	0	Original
Bo Gao, Qiang Huang, Yan-Shui Lin, Bo-Yuan Wei, Yun-Shan Guo, Zhen Sun, Long Wang, Jing Fan, Hong-Yang Zhang, Yue-Hu Han, Xiao-Jie Li, Jun Shi, Jian Liu, Liu Yang, Zhuo-Jing Luo	Dose-Dependent Effect of Estrogen Suppresses the Osteo-Adipogenic Transdifferentiation of Osteoblasts via Canonical Wnt Signaling Pathway	PLoS ONE 9(6): e99137, June 11, 2014. doi:10.1371/journal.pone.0099137	10.1371/journal.pone.0099137	2014	06-Jun			1		3	Duplicated, and stretched microscopy images, multiple cases	1	12-02-2014		1		1	Bo Gao	Zhuo-Jing Luo	9	PhD	materials physics	0.1	Physical Review	Fourth Military Medical University	Public	1941	0	0	0	China	34.265	108.954											0	0	0	Original
Yang Liu, Yuanyuan Liu, Chao Sun, Lu Gan, Luwei Zhang, Aihong Mao, Yuting Du, Rong Zhou, Hong Zhang	Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF	PLOS ONE, June 2014 | Volume 9 | Issue 6 | e98448	10.1371/journal.pone.0098448	2014	06-Jun			1		3	Overlapping microscopy images	1	08-07-2015		1		1	Yang Liu	Hong Zhang	30	PhD	physics	33.5	Leveraging Applications of Formal Methods, Verification and Validation	Chinese Academy of Sciences		1949	0	0	0	China	39.91151	116.36027											0	0	0	Original
Manasa K. Nayak, Ayusman Dash, Nitesh Singh, Debabrata Dash	Aspirin Delimits Platelet Life Span by Proteasomal Inhibition	PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105049, doi: 10.1371/journal.pone.0105049	10.1371/journal.pone.0105049	2014	08-Aug				1	4	Duplicated set of lanes within the same panel	1	12-12-2014		1		1	Manasa K. Nayak	Debabrata Dash	11	PhD	Cardiovascular biology	0.3142857	Blood	Banaras Hindu University	Public	1916	0	30698	0	India	-25.267778	-82.989167											0	0	2	Original
Wasia Rizwani, Aneesa Fasim, Deepshikha Sharma, Divya J. Reddy, Nabil A. M. Bin Omar, Surya S. Singh	S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression	PLOS ONE, August 2014 | Volume 9 | Issue 8 | e103868	10.1371/journal.pone.0103868	2014	08-Aug		1			2	Duplicated microscopy panels	1	11/18/2014		1		1	Wasia Rizwani	Surya S. Singh	20	PhD	biochemistry	0.8695652	Cancers	Osmania University	Public	1918	0	23368	0	India	-17.411111	-78.528889	Urban										0	0	0	Original
Shiuan Wang, Kai Li Tan, Melina A. Agosto, Bo Xiong, Shinya Yamamoto, Hector Sandoval, Manish Jaiswal, Vafa Bayat, Ke Zhang, Wu-Lin Charng, Gabriela David, Lita Duraine, Kartik Venkatachalam, Theodore G. Wensel, Hugo J. Bellen	The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration	PLOS Biology, April 2014 | Volume 12 | Issue 4 | e1001847	10.1371/journal.pbio.1001847	2014	04-Apr		1			2	duplicated microscopy panels	1	5/28/2015		1		1	Shiuan Wang	Hugo J. Bellen	9	BSc	pharmacy	1.3333	Cancer research	Baylor College of Medicine	Private	1900	4539	0	0	United States	-29.710556	95.3963889	Urban										5	0	2	Original
Apiruck Watthanasurorot, Netnapa Saelee, Amornrat Phongdara, Sittiruk Roytrakul, Pikul Jiravanichpaisal, Kenneth So_derhll, Irene SderhllGab	Astakine 2Ñthe Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans	PLOS Genetics, March 2013 | Volume 9 | Issue 3 | e1003361, doi:10.1371/journal.pgen.1003361	10.1371/journal.pgen.1003361	2013	03-Mar				1	4	multiple cases of shifted blots, duplicated bands within blots	1	4/27/2015	1			1	Apiruck Watthanasurorot	Irene S¬öderh¬ällGab	9	PhD	physics	0.375	PLoS One	Uppsala University	Public	1477	4707	42559	9.04164011	Sweden	-59.8575	-17.628889	Urban	81	44.1	59.6	61	80.9	39.5	18.2	0.12	2.404861111	0	0	2	Original
Dawn E. Watkins-Chow, Joanna Cooke, Ruth Pidsley, Andrew Edwards, Rebecca Slotkin, Karen E. Leeds, Raymond Mullen, Laura L. Baxter, Thomas G. Campbell, Marion C. Salzer, Laura Biondini, Gretchen Gibney, Franc _oise Phan Dinh Tuy, Jamel Chelly, H. Douglas Morris, Johannes Riegler, Mark F. Lythgoe, Ruth M. Arkell, Fabrizio Loreni, Jonathan Flint, William J. Pavan, David A. Keays	Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomical Phenotypes	PLOS Genetics, January 2013 | Volume 9 | Issue 1 | e1003094	10.1371/journal.pgen.1003094	2013	01-Jan		1			2	duplicated microscopy panels	1	11/19/2015		1		1	Dawn E. Watkins-Chow	David A. Keays	23	PhD	human genetics	23	molucular biology	National Institutes of Health			0	0	0	United States	39.0025	-77.104444											0	0	0	Original
Erica P. Homan, Caressa Lietman, Ingo Grafe, Jennifer Lennington, Roy Morello, Dobrawa Napierala, Ming-Ming Jiang, Elda M. Munivez, Brian Dawson, Terry K. Bertin, Yuqing Chen, Rhonald Lua, Olivier Lichtarge, John Hicks, Mary Ann Weis, David Eyre, Brendan H. L. Lee	Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues	PLOS Genetics, January 23, 2014DOI: 10.1371	10.1371/journal.pgen.1004121	2014	01-Jan		1			2	duplicated western blot panels	1	06-03-2014		1		1	Erica P. Homan	Brendan H. L. Lee	7	PhD	molecular and human genetics	0.6363636	Diabetes	Baylor College of Medicine	Private	1900	4539	0	0	United States	-29.710556	95.3963889	Urban										5	0	2	Original
Natalia Lopez-del Hoyo, Santiago Lopez-Begines, Jose Luis Rosa, Jeannie Chen, Ana Mendez	Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity	PLOS Genetics, July 2014 | Volume 10 | Issue 7 | e1004480	10.1371/journal.pgen.1004480	2014	07-Jul		1			2	duplicated microscopy panels	1	10/17/2014		1		1	Natalia Lopez-del Hoyo	Ana Mendez	6	PhD	biomedicine	1.5	PloS	University of Barcelona	Public	1450	0	63617	0	Spain	-41.386667	-2.1638889	Urban	174	38.5	49.2	37.4	78.9	31.1	12.2	0.1	2.609722222	0	0	0	Original
Cathleen D. Valentine, Marc O. Anderson, Feroz R. Papa, Peter M. Haggie	X-Box Binding Protein 1 (XBP1s) Is a Critical Determinant of Pseudomonas aeruginosa Homoserine Lactone-Mediated Apoptosis	PLOS Pathogens, August 2013 | Volume 9 | Issue 8 | e1003576	10.1371/journal.ppat.1003576	2013	08-Aug		1			2	Duplicated microscopy panels	1	5/19/2016		1		1	Cathleen D. Valentine	Peter M. Haggie	10	PhD	microbiology	0.4545455	PloS	University of California, San Francisco	Public	1864	3000	0	0	United States	-37.762778	122.458056	Urban										5	0	0	Original
Shipan Dai, Murugesan V. S. Rajaram, Heather M. Curry, Rachel Leander, Larry S. Schlesinger	Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis	PLOS Pathogens, January 2013 | Volume 9 | Issue 1 | e1003114	10.1371/journal.ppat.1003114	2013	01-Jan				1	4	Duplicated or mirrored blot panels, or lanes within blots	1	03-09-2016		1		1	Shipan Dai	Larry S. Schlesinger	10	PhD	biology	1.2	PloS pathogens	Ohio State University	Flagship	1870	7310	61391	8.39822161	United States	-40	83.0125		90	51.6	53	46.6	83.2	53.1	13.4	0.12	2.077083333	0	0	0	Original
