Authors	Title	Citation	DOI	Year	Month	0	1	2	3	Score	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	SUM  Completed	First_Author	Last_author	Duration in Career	Highest Degree Obtained	Degree Area	Publication Rate	Other Journals Published in	University_name	Type	Established	Academic_staff	Students	No_in_lab	Country	Latitude	Longitude	Campus	world_rank	teaching	international	research	citations	income	student_staff_ratio	international_students	female_male_ratio	pop_density_map.png	privacy_map.jpg	english_language_map.png	Grover identified falsification
M. Sisto, S. Lisi, D. Castellana, P. Scagliusi, M. D'Amore, S. Caprio, A. Scagliusi, A. Acquafredda, M.A. Panaro, V. Mitolo	Autoantibodies from Sjgren's syndrome induce activation of both the intrinsic and extrinsic apoptotic pathways in human salivary gland cell line A-253	Journal of Autoimmunity 27 (2006) 38-49	10.1016/j.jaut.2006.05.001	2006					1	4	Overlapping microscopy, duplicated bands within blots	1				1	1	M. Sisto	Ra Hilal-Dan	14	PhD	Biology	3.071	Immunopharmacology and Immunotoxicology	University of Bari	Public	1925	0	49000	0	Italy	-41.120278	-16.868333	Urban										0	0	2	Original
Itshak Golan, Shlomo Nedvetzki, Ira Golan, Lora Eshkar-Sebban, David Levartovsky, Ori Elkayam, Dan Caspi, Suhail Aamar, Howard Amital, Alan Rubinow, David Naor	Expression of extra trinucleotide in CD44 variant of rheumatoid arthritis patients allows generation of disease-specific monoclonal antibody	Journal of Autoimmunity 28 (2007) 99-113	10.1016/j.jaut.2007.02.007	2007			1			2	Duplicated FACS panel	1				1	1	Itshak Golan	Hui Gong	22	PhD	Gastroenterology	0.4	tumor cells	Hebrew University	Public	1918	0	23000	0	Israel	-31.775833	-35.2	Urban					25.3					2	0	0	Original
Xiaoyan Xiao, Bin Ma, Baojun Dong, Peng Zhao, Ningwen Tai, Li Chen, F. Susan Wong, Li Wen	Cellular and humoral immune responses in the early stages of diabetic nephropathy in NOD mice	Journal of Autoimmunity 32 (2009) 85Ð93	10.1016/j.jaut.2008.12.003	2009				1		3	Overlapping microscopy images	1				1	1	Xiaoyan Xiao	Sawsan Ibrahim Kreydiyyeh	11	PhD	Biology	2.3636	Molecular Medicine	University of Jinan	Public	1948	2200	36000	16.3636364	China	36.666667	116.983333						65.3					0	0	0	Original
Dana Ben-Ami Shor, Miri Blank, Sandra Reuter, Torsten Matthias, Inbal Beiglass, Alexander Volkov, Iris Barshack, Yehuda Shoenfeld	Anti-ribosomal-P antibodies accelerate lupus glomerulonephritis and induce lupus nephritis in nai_ve mice	Journal of Autoimmunity 54 (2014) 118-126	10.1016/j.jaut.2014.02.013	2014			1			2	Duplicated microscopy panels	1	02-01-2016		1		1	Dana Ben-Ami Shor	Eun-Cheol Kim	14	PhD	Veterinary Medicine	4.07	Autoantibodies	Tel Aviv University	Public	1956	0	26300	0	Israel	-32.111667	-34.801389	Urban	226	41	47.5	50.5		42.9	24.4	0.04		0	0	0	Original
Sawsan I. Kreydiyyeh, Christina Abou-Chahine, Randa Hilal-Dandan 	Interleukin-1 b inhibits NaC-KCATPase activity and protein expression in cardiac myocytes	Cytokine 26 (2004) 1-8	10.1016/j.cyto.2003.11.014	2004			1			4	Duplicated blot	1				1	1	Sawsan I. Kreydiyyeh	Mar√µa Cristina Carrillo	30	PhD	Molecular Genetics	2	cell culture	American University of Beirut	Private	1866	3741	54641	14.6059	Lebanon	33.8997222	35.48222	Urban	551	27.7	93	11.2		-	8.9	0.25	2.159027778	0	0	0	Original
Ji-Yong Zhou, Ji-Gang Chen, Jin-Yong Wang, Jian-Xiang Wu, Hui Gong	cDNA cloning and functional analysis of goose interleukin-2	Cytokine 30 (2005) 328-338	10.1016/j.cyto.2004.12.015	2005				1		2	Overlapping microscopy	1				1	1	Ji-Yong Zhou	Emilia Galdiero	11	DDS	Dentistry	0.2	Molecular Immunology	Zhejiang University	Public	1897	3741	54641	14.6059877	China	-30.263611	-120.12083	Urban	276	44.3	19.6	46		96.2	15.9	0.05	1.749305556	0	0	2	Original
Sarine Markossian, Sawsan Ibrahim Kreydiyyeh	TNF-a down-regulates the NaCeKC ATPase and the Na+-K+-2Cl- cotransporter in the rat colon via PGE2	Cytokine 30 (2005) 319-327	10.1016/j.cyto.2004.11.009	2005					1	3	Duplicated bands within blot strips, multiple cases	1				1	1	Sarine Markossian	Sarine Markossian	14	PhD	Biology	0.2857	Cytokine	University of California San Francisco	Public	1864	3000	0	0	United States	-37.762778	122.458056	Urban										5	0	0	Original
Hwa-Jeong Lee, Jin-Woo Cho, Sang-Cheol Kim, Kyung-Hwa Kang, Sun-Kyung Lee, Sung-Hee Pi, Suk-Keun Lee, Eun-Cheol Kim	Roles of p38 and ERK MAP kinases in IL-8 expression in TNF-a- and dexamethasone-stimulated human periodontal ligament cells	Cytokine 35 (2006) 67Ð76	10.1016/j.cyto.2006.07.009	2006					1	2	Duplicated lanes within blots, many many case	1				1	1	Hwa-Jeong Lee	Mhan-Pyo Yang	14	PhD	Microbiology	3.1428	endodontics	Wonkwang University			0	0	0		-35.969444	-126.95722						49.2					0	0	0	Original
Maria de Lujan Alvarez, Ariel D. Quiroga, Marõa Teresa Ronco, Juan Pablo Parody, J. Elena Ochoa, Juan A. Monti, Cristina E. Carnovale, Marõa Cristina Carrillo 	Time-dependent onset of Interferon-a2b-induced apoptosis in isolated hepatocytes from preneoplastic rat livers	Cytokine 36 (2006) 245Ð253	10.1016/j.cyto.2007.01.002	2006				1		2	Mirrored blot	1				1	1	Maria de Lujan Alvarez	Ming-Shi Chang	9	PhD	Biology	3.2222	Hepatology	Rosario National University	Public	1968	6500	76006	11.6932308	Argentina	32.9427778	60.65	Urban					31.9					0	0	0	Original
Marilena Galdiero, Mariateresa Vitiello, Marina DÕIsanto, Katia Raieta, Emilia Galdiero	STAT1 and STAT3 phosphorylation by porins are independent of JAKs but are dependent on MAPK pathway and plays a role in U937 cells production of interleukin-6	Cytokine 36 (2006) 218Ð228	10.1016/j.cyto.2006.12.003	2006			1			3	Multiple cases of duplicated blots	1				1	1	Marilena Galdiero	A. Kozub¬íkeSung	33	PhD	Veterinary Medicine	3.33	cell biology	Università degli Studi della Campania Luigi Vanvitelli	Public	1991	0	30371	0	Italy	41.0678	14.3308	Urban					36.1					0	0	0	Original
Sawsan Ibrahim Kreydiyyeh, Sarine Markossian 	Tumor necrosis factor alpha down-regulates the Na+-K+ ATPase and the Na+-K+2Cl- cotransporter in the kidney cortex and medulla	Cytokine 33 (2006) 138e144	10.1016/j.cyto.2005.12.007	2006			1			4	Multiple cases of duplicated blots	1				1	1	Sawsan Ibrahim Kreydiyyeh	Tetsuya Yamamoto	30	PhD	Anesthesiology	2	cell culture	American University of Beirut	Private	1866	1200	9408	7.84	Lebanon	33.8997222	35.4822222	Urban	551	27.7	93	11.2		-	8.9	0.25	2.159027778	5	0	0	Original
